,link,category
213,https://www.1mg.com/drugs/terbinaforce-dusting-powder-296012,antifungal-creams-and-powders
214,https://www.1mg.com/drugs/amortive-cream-389372,antifungal-creams-and-powders
215,https://www.1mg.com/drugs/drez-powder-157965,antifungal-creams-and-powders
216,https://www.1mg.com/otc/alloes-alodust-antifungal-clotrimazole-absorbent-powder-100gm-each-otc793804,antifungal-creams-and-powders
217,https://www.1mg.com/otc/b-tex-white-ointment-14gm-each-otc859651,antifungal-creams-and-powders
218,https://www.1mg.com/drugs/phytoral-dusting-powder-347406,antifungal-creams-and-powders
219,https://www.1mg.com/drugs/niofine-dusting-powder-335250,antifungal-creams-and-powders
220,https://www.1mg.com/drugs/ocona-z-lotion-153780,antifungal-creams-and-powders
221,https://www.1mg.com/otc/b-tex-lotion-15ml-each-otc859665,antifungal-creams-and-powders
222,https://www.1mg.com/otc/d-fibroheal-ag-sprinkling-powder-otc712496,antifungal-creams-and-powders
223,https://www.1mg.com/otc/b-tex-white-ointment-14gm-each-otc859652,antifungal-creams-and-powders
224,https://www.1mg.com/drugs/amoron-cream-492530,antifungal-creams-and-powders
225,https://www.1mg.com/drugs/amrolmac-cream-372620,antifungal-creams-and-powders
226,https://www.1mg.com/otc/dr.-morepen-itch-beat-dusting-powder-otc562512,antifungal-creams-and-powders
227,https://www.1mg.com/drugs/terbest-dusting-powder-132514,antifungal-creams-and-powders
228,https://www.1mg.com/otc/candid-dusting-powder-otc663587,antifungal-creams-and-powders
229,https://www.1mg.com/otc/funzi-mx-dusting-powder-otc678397,antifungal-creams-and-powders
230,https://www.1mg.com/drugs/lamifin-dusting-powder-184121,antifungal-creams-and-powders
231,https://www.1mg.com/drugs/cloben-dusting-powder-297872,antifungal-creams-and-powders
232,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343,antifungal-creams-and-powders
233,https://www.1mg.com/drugs/fungidust-dusting-powder-411107,antifungal-creams-and-powders
234,https://www.1mg.com/drugs/flumet-dusting-powder-475005,antifungal-creams-and-powders
235,https://www.1mg.com/otc/combo-pack-of-tata-1mg-adult-diaper-tape-style-large-10-tata-1mg-antifungal-dusting-powder-100gm-otc834750,antifungal-creams-and-powders
236,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100,antifungal-creams-and-powders
237,https://www.1mg.com/otc/combo-pack-of-tata-1mg-multipurpose-germ-protection-wipes-72-tata-1mg-antifungal-dusting-powder-100gm-otc857521,antifungal-creams-and-powders
238,https://www.1mg.com/otc/b-tex-super-ointment-12gm-each-otc859658,antifungal-creams-and-powders
239,https://www.1mg.com/drugs/nizoclin-2-dusting-powder-397637,antifungal-creams-and-powders
240,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649,antifungal-creams-and-powders
241,https://www.1mg.com/otc/combo-pack-of-tata-1mg-antiseptic-liquid-500ml-tata-1mg-antifungal-dusting-powder-100gm-otc834763,antifungal-creams-and-powders
242,https://www.1mg.com/drugs/triben-dusting-powder-409265,antifungal-creams-and-powders
243,https://www.1mg.com/drugs/drez-s-dusting-powder-310851,antifungal-creams-and-powders
244,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137,antifungal-creams-and-powders
245,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099,antifungal-creams-and-powders
246,https://www.1mg.com/drugs/klo-aid-dusting-powder-471779,antifungal-creams-and-powders
247,https://www.1mg.com/drugs/xerofung-c-dusting-powder-502549,antifungal-creams-and-powders
248,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099,antifungal-creams-and-powders
249,https://www.1mg.com/otc/tata-1mg-summer-essential-combo-pack-otc865217,antifungal-creams-and-powders
250,https://www.1mg.com/drugs/trucona-f-dusting-powder-707506,antifungal-creams-and-powders
251,https://www.1mg.com/otc/b-tex-lotion-15ml-each-otc859666,antifungal-creams-and-powders
252,https://www.1mg.com/otc/funzi-mx-dusting-powder-otc141393,antifungal-creams-and-powders
253,https://www.1mg.com/otc/combo-pack-of-tata-1mg-ors-hydration-boost-21.8gm-tata-1mg-antifungal-dusting-powder-100gm-tata-1mg-tejasya-pudina-cooling-pearls-10-otc865010,antifungal-creams-and-powders
254,https://www.1mg.com/otc/iafa-af-7-powder-otc724237,antifungal-creams-and-powders
255,https://www.1mg.com/otc/combo-pack-of-friends-overnight-adult-diaper-pants-m-l-10-tata-1mg-antifungal-dusting-powder-100gm-otc851625,antifungal-creams-and-powders
256,https://www.1mg.com/otc/b-tex-super-ointment-12gm-each-otc859659,antifungal-creams-and-powders
257,https://www.1mg.com/otc/b-tex-white-ointment-20gm-each-otc859656,antifungal-creams-and-powders
258,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-100gm-each-otc776585,antifungal-creams-and-powders
259,https://www.1mg.com/otc/combo-pack-of-tata-1mg-multivitamin-veg-tablet-with-multimineral-for-immunity-energy-and-daily-wellbeing-30-tata-1mg-antifungal-dusting-powder-100gm-otc865014,antifungal-creams-and-powders
260,https://www.1mg.com/drugs/blzole-dusting-powder-565916,antifungal-creams-and-powders
261,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-100gm-each-otc767074,antifungal-creams-and-powders
262,https://www.1mg.com/otc/softheel-cream-15gm-each-otc859670,antifungal-creams-and-powders
263,https://www.1mg.com/drugs/trucona-t-dusting-powder-707509,antifungal-creams-and-powders
264,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-100gm-each-otc767073,antifungal-creams-and-powders
