,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
3304,DAUCUS CAROTA,,,"84929-61-3
284-545-1","Daucus Carota Extract
is an extract of
the roots of
the
Emollient/astringent",,,
3305,EXTRACT,,,,"carrot, Daucus carota sativa, Umbelliferae",,,
3306,DAUCUS CAROTA JUICE,,,"84929-61-3
284-545-1","Daucus Sativa Juice is the liquid expressed from the fresh
Emollient/astringent",,,
3307,,,,,"pulp of
the carrot, Daucus carota sativa, Umbelliferae",,,
3308,DAUCUS CAROTA OIL,,,8015-88-1,"Daucus Sativa Oil
is the oil obtained from the seed of
the
Tonic/masking",,,
3309,,,,,"carrot, Daucus carota sativa, Umbelliferae",,,
3310,DAUCUS CAROTA SEED,,,"84929-61-3
284-545-1","Daucus Sativa Seed Extract
is an extract of
the seeds of
the
Emollient/astringent",,,
3311,EXTRACT,,,,"carrot, Daucus carota sativa, Umbelliferae",,,
3312,DEA-C8-18 PERFLUOR-,,,223239-91-6,"Phosphoric acid,
.gamma.-.omega.-perfluoro-C10-20-alkyl
Surfactant/emulsifying",,,
3313,OALKYLETHYL PHOS-,,,,"esters, compounds with diethanolamine",,,
3314,PHATE,,,,,,,
3315,DEA-C12-13 ALKYL SUL-,,,243133-68-8,"Bis-(2-hydroxytheyl)ammonium (C12-13)-alkylsulfate
Surfactant/cleansing",,,
3316,FATE,,,,,,,
3317,DEA-C12-13 PARETH-3,,,243133-69-9,"Surfactant/cleansing
Bis-(2-hydroxyethyl)ammonium poly(oxy-1,2-ethanediyl)-.",,,
3318,SULFATE,,,,"alpha.-(C12-13)-alkyl-.omega.-sulfate,
(3 mol EO average",,,
3319,,,,,"molar
ratio)",,,
3320,DEA-C12-15 ALKYL SUL-,,,,"Sulfuric acid, C12-C15-alkyl ester, 2,2'-iminobisethanol salt
Surfactant/foaming/cleansing",,,
3321,FATE,,,,,,,
3322,DEA-CETEARETH-2 PHOS-,,,"162567-77-3
500-766-0","Alcohols, C16-18, ethoxylated, phosphates, bis(2-hydro-
Emulsifying",,,
3323,PHATE,,,,"xyethyl) ammonium salts (2 mol EO average molar
ratio)",,,
3324,DEA-CETYL PHOSPHATE,,,"69331-39-1
273-968-7","1-Hexadecanol, phosphate, compd. with 2,2'-iminobis
Surfactant/emulsifying",,,
3325,,,,,"[ethanol]
(1: 1)",,,
3326,DEA-CETYL SULFATE,,,"51541-51-6
257-260-5","Bis(2-hydroxyethyl)ammonium hexadecyl sulphate
Surfactant/emulsifying",,,
3327,DEA-COCOAMPHODIPRO-,,,,"Beta-alanine, N-(2-aminoethyl)-N-[2-(2-carboxyethoxy)
Surfactant/foam boosting/hydro-",,,
3328,PIONATE,,,,"ethyl]-, N-coco acyl derivs., 2,2'-iminobisethanol salts
trope/cleansing",,,
3329,DEA-CYCLOCARBOXY-,,,"84195-78-8
282-385-7","5(or 6)-carboxy-4-hexylcyclohex-2-ene-1-octanoic acid,
Surfactant/emulsifying",,,
3330,PROPYLOLEATE,,,,"compound with 2,2'-iminodiethanol",,,
3331,DEA-DODECYLBENZENE-,,,"26545-53-9
247-784-2","Dodecylbenzenesulphonic acid, compound with 2,2'-imi-",Surfactant/foaming/cleansing,,
3332,SULFONATE,,,,"nodiethanol
(1:1)",,,
3333,DEA-HYDROLYZED,,,"91053-51-9
293-317-0","Lecithins,
reaction products with diethanolamine",Emulsifying,,
3334,LECITHIN,,,,,,,
3335,DEA-ISOSTEARATE,,,"93920-28-6
300-113-8","Isooctadecanoic acid, compound with 2,2'-iminodiethanol",Surfactant/cleansing/emulsifying,,
3336,,,,,(1:1),,,
3337,DEA-LAURAMINOPRO-,,,"65104-36-1
265-417-4","N-dodecyl-.beta.-alanine, compound with 2,2'-iminodietha-",Antistatic/hair conditioning,,
3338,PIONATE,,,,"nol
(1:1)",,,
3339,DEA-LAURETH SULFATE,,,58855-36-0,"Dodecanol, ethoxylated, sulfates, bis(2-hydroxyethyl)ammo-",Surfactant/foaming/cleansing,,
3340,,,,,"nium salts (1-4 mol EO average molar
ratio)",,,
3341,DEA-LAURYL SULFATE,,,"143-00-0
205-577-4",Bis(2-hydroxyethyl)ammonium dodecyl sulfate,Surfactant/foaming/cleansing,,
3342,DEA-LINOLEATE,,,"59231-42-4
261-676-2","(9Z,12Z)-octadeca-9,12-dienoic acid, compound with 2,2'-",Antistatic/viscosity controlling/,,
3343,,,,,"iminodiethanol
(1:1)",emulsifying,,
3344,DEA-METHOXYCINNA-,,,"56265-46-4
260-082-0","P-methoxycinnamic acid, compound with 2,2'-imino-",Uv absorber,,
3345,MATE,,,,"diethanol
(1:1)",,,
3346,DEA-METHYL MYRISTATE,,,,"Tetradecanoic acid, 2-sulfo-, 1-methyl ester, 2,2'-iminobi-",Surfactant/cleansing/foaming,,
3347,SULFONATE,,,,sethanol salt,,,
3348,DEA-MYRETH SULFATE,,,,"Tetradecanol, ethoxylated, sulfates, bis(2-hydroxyethyl)",Surfactant/cleansing/foaming,,
3349,,,,,ammonium salts (1-4 mol EO),,,
3350,DEA-MYRISTATE,,,"53404-39-0
258-531-0",Bis(2-hydroxyethyl)ammonium myristate,Surfactant/emulsifying,,
3351,DEA-MYRISTYL SULFATE,,,"65104-61-2
265-433-1",Bis(2-hydroxyethyl)ammonium tetradecyl sulphate,Surfactant/cleansing/foaming,,
3352,DEA-OLETH-3 PHOS-,,,58855-63-3,"(Z)-9-Octadecanol, ethoxylated, phosphates, bis(2-hydro-",Emulsifying/surfactant,,
3353,PHATE,,,,"xyethyl)ammonium salts (3 mol EO average molar
ratio)",,,
3354,DEA-OLETH-5 PHOS-,,,58855-63-3,"(Z)-9-Octadecanol, ethoxylated, phosphates, bis(2-hydro-",Emulsifying/surfactant,,
3355,PHATE,,,,"xyethyl)ammonium salts (5 mol EO average molar
ratio)",,,
3356,DEA-OLETH-10 PHOS-,,,58855-63-3,"(Z)-9-Octadecanol, ethoxylated, phosphates, bis(2-hydro-",Emulsifying/surfactant,,
3357,PHATE,,,,"xyethyl)ammonium salts (10 mol EO average molar
ratio)",,,
3358,DEA-OLETH-20 PHOS-,,,58855-63-3,"(Z)-9-Octadecanol, ethoxylated, phosphates, bis(2-hydro-",Emulsifying/surfactant,,
3359,PHATE,,,,"xyethyl)ammonium salts (20 mol EO average molar
ratio)",,,
3360,DEA-STYRENE/ACRY-,,,,,,,Opacifying
3361,LATES/DVB COPOLYMER,,,,,,,
3362,DECANAL,,,"112-31-2
203-957-4",Decanal,,,Masking
3363,DECARBOXY CARNOSINE,,,"57022-38-5
415-470-6",,3-Amino-N-(2-(1H-imidazol-4-yl)ethyl)propanamide dihy-,,Antistatic/hair conditioning
3364,HCL,,,,drochloride,,,
3365,DECENAL,,,"65405-70-1
265-741-6",(E)-4-decenal,,,Masking
3366,DECENE/BUTENE COPO-,,,30973-93-4,"1-Decene, polymer with 1-butene",,,Viscosity controlling
3367,LYMER,,,,,,,
3368,DECETH-3,,,,,,,Emulsifying
3369,DECETH-4,,,26183-52-8,,,,Emulsifying
3370,DECETH-4 PHOSPHATE,,,9004-80-2/,"Poly(oxy-1,2-ethanediyl),",.alpha.-phosphono-.omega.-(decy-,,Surfactant/emulsifying
3371,,,,52019-36-0,loxy)-,,,
3372,DECETH-5,,,,,,,Emulsifying
3373,DECETH-6,,,26183-52-8,,,,Emulsifying
3374,DECETH-6 PHOSPHATE,,,9004-80-2,"Poly(oxy-1,2-ethanediyl),",.alpha.-phosphono-.omega.-(decy-,,Emulsifying
3375,,,,,loxy)-,,,
3376,DECETH-7 CARBOXYLIC,,,,,,,Surfactant/emulsifying
3377,ACID,,,,,,,
3378,DECETH-8,,,,,,,Emulsifying
3379,DECETH-10,,,,,,,Emulsifying
3380,DECYL ALCOHOL,,,"112-30-1
203-956-9",Decan-1-ol,,,Emollient/viscosity controlling
3381,DECYL BETAINE,,,"2644-45-3
220-152-3",,(carboxymethyl)decyldimethylammonium hydroxide,,Antistatic/surfactant/foam boosting
3382,DECYL GLUCOSIDE,,,"54549-25-6
259-218-1",Decyl D-glucoside,,,Surfactant/emulsion stabilising
3383,DECYL ISOSTEARATE,,,"84605-08-3
283-388-6","Decyl
isooctadecanoate",,,Emollient
3384,DECYL MERCAPTO-,,,,,"Imidazole, 2-decyl-1-mercaptomethyl-",,Antioxidant
3385,METHYLIMIDAZOLE,,,,,,,
3386,DECYL MYRISTATE,,,41927-71-3,255-589-9,Decyl myristate,Emollient,
3387,DECYL OLEATE,,,3687-46-5,222-981-6,Decyl oleate,Emollient,
3388,DECYL POLYGLUCOSE,,,,,,Surfactant/emulsion stabilising,
3389,DECYL SUCCINATE,,,2530-33-8,219-783-7,Decyl hydrogen succinate,Emollient,
3390,DECYLAMINE OXIDE,,,2605-79-0,220-020-5,"N,N-dimethyldecylamine N-oxide",Antistatic/surfactant/hair condi-,
3391,,,,,,,tioning/foam boosting,
3392,DECYLOXAZOLIDINONE,,,7693-82-5,,"2-Oxazolidinone, 4-decyl-",Antimicrobial,
3393,DECYLTETRADECANOL,,,58670-89-6,261-385-0,2-decyltetradecanol,Emollient/viscosity controlling/skin,
3394,,,,,,,conditioning,
3395,DECYLTETRADECETH-30,,,,,,Emulsifying,
3396,DECYLTETRADECYLA-,,,146793-33-1,,"1-Tetradecanamine, 2-decyl-N,N-dimethyl-, N-oxide",Surfactant/cleansing/foam boost-,
3397,MINE OXIDE,,,,,,ing/hydrotrope,
3398,DEDM HYDANTOIN,,,26850-24-8,248-052-5,"1,3-bis(2-hydroxyethyl)-5,5-dimethylimidazolidine-2,4-",Antimicrobial,
3399,,,,,,dione,,
3400,DEDM HYDANTOIN,,,,,"2,4-imidazolidinedione, 1,3-bis(2-decanoyloxyethyl)-5,5-",Antimicrobial,
3401,DILAURATE,,,,,dimethyl-,,
3402,DEHYDROACETIC ACID,dehydroacetic acid,,520-45-6,208-293-9,"3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione
VI/1,13",Preservative,
3403,7-DEHYDROCHOLES-,,,434-16-2,207-100-5,"7
,8-didehydrocholesterol",Emulsion stabilising/viscosity con-,
3404,TEROL,,,,,,trolling,
3405,DELESSERIA SANGUINEA,,,223749-86-8,,"Delesseria Sanguinea Extract
is an extract of
the algae,",Skin conditioning,
3406,EXTRACT,,,,,"Delesseria sanguinea, Delesseriaceae",,
3407,DELTA-DECALACTONE,,,705-86-2,211-889-1,Decan-5-olide,Masking,
3408,DENATONIUM BENZOATE,denatonium benzo-,,3734-33-6,223-095-2,Denatonium benzoate,Denaturant,
