,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
10071,POLOXAMER 407,poloxamer 407,,2594628,"Oxirane, methyl-, polymer with oxirane (98; 67)",Emulsifying/surfactant,,
10072,POLOXAMINE 304,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10073,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(4; 3)",,,
10074,POLOXAMINE 504,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10075,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(8; 7)",,,
10076,POLOXAMINE 701,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10077,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(12; 2)",,,
10078,POLOXAMINE 702,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10079,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(13; 4)",,,
10080,POLOXAMINE 704,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10081,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(14; 12)",,,
10082,POLOXAMINE 707,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10083,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(19; 47)",,,
10084,POLOXAMINE 901,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10085,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(18; 2)",,,
10086,POLOXAMINE 904,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10087,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(19; 16)",,,
10088,POLOXAMINE 908,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10089,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(22; 122)",,,
10090,POLOXAMINE 1101,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10091,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(21; 3)",,,
10092,POLOXAMINE 1102,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10093,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(21; 7)",,,
10094,POLOXAMINE 1104,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",Emulsifying,,
10095,,,,,"ethanediyldinitrilo)tetrakis (propanol)
(21; 19)",,,
10096,POLOXAMINE 1301,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10097,,,,,ethanediyldinitrilo)tetrakis (propanol),(25; 3),,
10098,POLOXAMINE 1302,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10099,,,,,ethanediyldinitrilo)tetrakis (propanol),(26; 8),,
10100,POLOXAMINE 1304,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10101,,,,,ethanediyldinitrilo)tetrakis (propanol),(26; 24),,
10102,POLOXAMINE 1307,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10103,,,,,ethanediyldinitrilo)tetrakis (propanol),(23; 74),,
10104,POLOXAMINE 1501,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10105,,,,,ethanediyldinitrilo)tetrakis (propanol),(30; 4),,
10106,POLOXAMINE 1502,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10107,,,,,ethanediyldinitrilo)tetrakis (propanol),(30; 10),,
10108,POLOXAMINE 1504,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10109,,,,,ethanediyldinitrilo)tetrakis (propanol),(32; 28),,
10110,POLOXAMINE 1508,,,11111-34-5,"Oxirane, methyl-, polymer with oxirane, ether with (1,2-",,Emulsifying,
10111,,,,,ethanediyldinitrilo)tetrakis (propanol),(22; 122),,
10112,POLYACRYLAMIDE,,,2594446,"2-propenamide, homopolymer",,Antistatic/binding/film forming,
10113,POLYACRYLAMIDOME-,,,113783-61-2,Polymer of N-{(2 and 4)-[(2-oxoborn-3-ylidine)methyl],"VII/1,11",Uv filter/uv absorber,
10114,THYL BENZYLIDENE,,,,benzyl}acrylamide,,,
10115,CAMPHOR,,,,,,,
10116,POLYACRYLAMIDOME-,,,,,,Film forming,
10117,THYLPROPANE SULFONIC,,,,,,,
10118,ACID,,,,,,,
10119,POLYACRYLIC ACID,carbomer 910,,2594322,"2-propenoic acid, homopolymer",,Binding/emulsion stabilising/film,
10120,,,,,,,forming/viscosity controlling,
10121,POLYAMINO SUGAR,,,120022-92-6,,,Humectant,
10122,CONDENSATE,,,,,,,
10123,POLYAMINOPROPYL,,,70170-61-5/,"Poly(methylene),",".alpha.,.omega.-bis[[[(aminoiminomethyl)
VI/1,28",Preservative,
10124,BIGUANIDE,,,28757-47-3,"amino]iminomethyl]amino]-, dihydrochloride",,,
10125,POLYBETA-ALANINE,,,68440-02-8,,,Skin conditioning,
10126,POLYBETA-ALANINE/GLU-,,,,,,,Film forming
10127,TARIC ACID CROSSPOLY-,,,,,,,
10128,MER,,,,,,,
10129,POLYBUTENE,,,9003-28-5,,"1-butene, homopolymer",,Binding/viscosity controlling
10130,POLYBUTYL ACRYLATE,,,,,Poly[1-(butoxycarbonyl)ethylene],,Binding/film forming
10131,POLYBUTYLENE TER-,,,26062-94-2,,"1,4-benzenedicarboxylic acid, polymer with 1,4-butanediol",,Antistatic/film forming/viscosity
10132,EPHTHALATE,,,,,,,controlling
10133,POLYCAPROLACTONE,,,,,"2-Oxepanone, homopolymer",,Stabilising
10134,POLYCHLOROTRIFLUOR-,,,9002-83-9,,"Ethene, chlorotrifluoro-, homopolymer",,Film forming
10135,OETHYLENE,,,,,,,
10136,POLYCYCLOPENTADIENE,,,68132-00-3,,,,Viscosity controlling
10137,POLYDECENE,,,37309-58-3,,,,Binding
10138,POLYDEXTROSE,polydextrose,,68424-04-4,,,,Humectant
10139,POLYDIETHYLENEGLYCOL,,,55636-50-5,,"Hexanedioic acid, polymer with 5-isocyanato-1-(isocyana-",,Film forming
10140,ADIPATE/IPDI COPOLY-,,,,,"tomethyl)-1,3,3-trimethyl cyclohexane and 2,2'-oxobis",,
10141,MER,,,,,(ethanol),,
10142,POLYDIMETHYLAMINOE-,,,,,,,Film forming
10143,THYL METHACRYLATE,,,,,,,
10144,POLYDIPENTENE,,,,,,,Binding/viscosity controlling
10145,POLYETHYLACRYLATE,,,9003-32-1,,"2-propenoic acid, ethyl ester, homopolymer",,Antistatic/binding/film forming
10146,POLYETHYLENE,,,9002-88-4,,"Ethene, homopolymer",,Antistatic/binding/emulsion stabi-
10147,,,,,,,,lising/film forming/viscosity con-
10148,,,,,,,,trolling
10149,POLYETHYLENE TER-,,,25038-59-9,,"Poly(oxy-1,2-ethanediyloxycarbonyl-1,4-phenylenecarbonyl)",,Film forming
10150,EPHTHALATE,,,,,,,
10151,POLYETHYLENE/ISOPRO-,,,224580-87-4,,"2-Butenedioic acid (2Z)-, polymer with ethene, 1-methy-",,Emulsion stabilising/viscosity con-
10152,PYL MALEATE/MA COPO-,,,,,"lethyl ester, ester with .alpha.-hydro-.omega.-hydroxypoly",,trolling
10153,LYOL,,,,,"(oxy-1,2-ethanediyl) and .alpha.-hydro-.omega.-hydroxypoly",,
10154,,,,,,"[oxy(methyl-1,2-ethanediyl)], graft",,
10155,POLYETHYLGLUTAMATE,,,,,,,Binding
10156,POLYETHYLMETHACRY-,,,9003-42-3,"2-propenoic acid, ethyl ester, homopolymer",,,Binding
10157,LATE,,,,,,,
10158,POLYGALA SENEGA,,,"68990-66-9
273-619-9","Polygala Senega Extract
is an extract of",the roots of,the,Skin conditioning
10159,EXTRACT,,,,"senega, Polygala senega, Polygalaceae",,,
10160,POLYGLUCURONIC ACID,,,,,,,Film forming/humectant
10161,POLYGLYCERIN-3,,,"56090-54-1
259-986-8",Triglycerol,,,Humectant
10162,POLYGLYCERYL-2 CAP-,,,,,,,Emulsifying
10163,RATE,,,,,,,
10164,POLYGLYCERYL-2 CAPRY-,,,,,,,Emulsifying
10165,LATE,,,,,,,
10166,POLYGLYCERYL-2 DIISOS-,,,"67938-21-0/
267-821-6",,"Di(isooctadecanoic) acid, diester with oxydi(propanediol)",,Emulsifying
10167,TEARATE,,,9082-07-9,,,,
10168,POLYGLYCERYL-2 DIOLE-,,,,,,,Emulsifying
10169,ATE,,,,,,,
10170,POLYGLYCERYL-2 DIPOLY-,,,137398-08-4,,"Octadecanoic acid, 12-hydroxy-, homopolymer, ester with",,Skin conditioning
10171,HYDROXYSTEARATE,,,,oxybis(propanediol),,,
10172,POLYGLYCERYL-2 DISTEA-,,,,,,,Emulsifying
10173,RATE,,,,,,,
10174,POLYGLYCERYL-2 ISOPAL-,,,,,,,Emulsifying
10175,MITATE,,,,,,,
10176,POLYGLYCERYL-2 ISO-,,,"67938-21-0
267-821-6",,"Di(isooctadecanoic) acid, diester with oxydi(propanediol)",,Emulsifying
10177,STEARATE,,,,,,,
10178,POLYGLYCERYL-2 LANO-,,,,,,,Emulsifying
10179,LIN ALCOHOL ETHER,,,,,,,
10180,POLYGLYCERYL-2 LAU-,,,,,,,Emulsifying
10181,RATE,,,,,,,
10182,POLYGLYCERYL-2 OLEATE,,,"49553-76-6
256-367-4","Oleic acid, monoester with oxybis(propanediol)",,,Emulsifying
10183,POLYGLYCERYL-2 OLEYL,,,71032-90-1,"1,2-propanediol, 3-[3-hydroxy-2-(9-octadecenyloxy)pro-",Emulsifying,,
10184,ETHER,,,,poxy]-,,,
10185,POLYGLYCERYL-2 SES-,,,"67938-21-0
267-821-6","Di(isooctadecanoic) acid, diester with oxydi(propanediol)",Emulsifying,,
10186,QUIISOSTEARATE,,,,,,,
10187,POLYGLYCERYL-2 SES-,,,,,Emulsifying,,
10188,QUIOLEATE,,,,,,,
10189,POLYGLYCERYL-2 SES-,,,,,Emulsifying,,
10190,QUISTEARATE,,,,,,,
10191,POLYGLYCERYL-2 SORBI-,,,,,Emulsifying,,
10192,TAN PENTACAPRYLATE,,,,,,,
10193,POLYGLYCERYL-2 SORBI-,,,,,Emulsifying,,
10194,TAN TETRACAPRYLATE,,,,,,,
10195,POLYGLYCERYL-2 STEA-,,,"12694-22-3
235-777-7","Stearic acid, monoester with oxybis(propanediol)",Emulsifying,,
10196,RATE,,,,,,,
10197,POLYGLYCERYL-2 TETRAI-,,,,,Emulsifying,,
10198,SOSTEARATE,,,,,,,
10199,POLYGLYCERYL-2 TETRA-,,,72347-89-8,,Emulsifying,,
10200,STEARATE,,,,,,,
10201,POLYGLYCERYL-2 TRII-,,,,,Emulsifying,,
10202,SOSTEARATE,,,,,,,
10203,POLYGLYCERYL-2-PEG-4,,,,,Emulsifying,,
10204,STEARATE,,,,,,,
10205,POLYGLYCERYL-3 BEES-,,,,,Emulsifying,,
10206,WAX,,,,,,,
10207,POLYGLYCERYL-3 CAP-,,,133654-02-1,,Emulsifying,,
10208,RATE,,,,,,,
10209,POLYGLYCERYL-3 CETYL,,,,,Emulsifying,,
10210,ETHER,,,,,,,
10211,POLYGLYCERYL-3 COCO-,,,223706-47-6,"Fatty acids, coconut, monoester with triglycerol",Emulsifying,,
10212,ATE,,,,,,,
10213,POLYGLYCERYL-3 DECYL-,,,,,Emulsifying,,
10214,TETRADECANOL,,,,,,,
10215,POLYGLYCERYL-3 DICAP-,,,,,Emulsifying,,
10216,RATE,,,,,,,
10217,POLYGLYCERYL-3,,,223706-50-1,"Fatty acids, coconut, diester with triglycerol",Emollient/emulsifying,,
10218,DICOCOATE,,,,,,,
10219,POLYGLYCERYL-3 DIISOS-,,,85666-92-8,,Emulsifying,,
10220,TEARATE,,,,,,,
10221,POLYGLYCERYL-3 DIOLE-,,,,,Emulsifying,,
10222,ATE,,,,,,,
10223,POLYGLYCERYL-3 DISTEA-,,,,,Emulsifying,,
10224,RATE,,,,,,,
10225,POLYGLYCERYL-3,,,,,Emulsifying,,
10226,HYDROXYLAURYL ETHER,,,,,,,
10227,POLYGLYCERYL-3 ISO-,,,127512-63-4,,Emulsifying,,
10228,STEARATE,,,,,,,
10229,POLYGLYCERYL-3 LAU-,,,51033-31-9,,Emulsifying,,
10230,RATE,,,,,,,
10231,POLYGLYCERYL-3,,,,,Emulsifying,,
10232,METHYLGLUCOSE DIS-,,,,,,,
10233,TEARATE,,,,,,,
10234,POLYGLYCERYL-3 MYRIS-,,,,,Emulsifying,,
10235,TATE,,,,,,,
10236,POLYGLYCERYL-3 OLEATE,,,"33940-98-6
251-749-7","Oleic acid, monoester with triglycerol",Emulsifying,,
10237,POLYGLYCERYL-3 PALMI-,,,143710-24-1,"Hexadecanoic acid, ester with triglycerol",Emollient/emulsifying,,
10238,TATE,,,,,,,
10239,POLYGLYCERYL-3 PEN-,,,221354-73-0,"9-(Z)-Octadecanoic acid, 12-(R)-hydroxy-, pentaester with",Emollient/emulsifying,,
10240,TARICINOLEATE,,,,triglycerol,,,
10241,POLYGLYCERYL-3 POLYRI-,,,235783-76-3,"9-Octadecanoic acid, 12-hydroxy-(9Z, 12R)-, homopolymer,",Emulsifying/viscosity controlling,,
10242,CINOLEATE,,,,ester with triglycerol,,,
10243,POLYGLYCERYL-3 RICI-,,,,,,,Emulsifying
10244,NOLEATE,,,,,,,
10245,POLYGLYCERYL-3 STEA-,,,27321-72-8,248-403-2,"Stearic acid, monoester with triglycerol",,Emulsifying
10246,RATE,,,,,,,
10247,POLYGLYCERYL-3 STEA-,,,,,,,Emulsifying
10248,RATE SE,,,,,,,
10249,POLYGLYCERYL-3 TRII-,,,6608243-7,,"Isooctadecanoic acid,
triester with triglycerol",,Emollient/emulsifying
10250,SOSTEARATE,,,,,,,
10251,POLYGLYCERYL-4 CAP-,,,,,,,Emulsifying
10252,RATE,,,,,,,
10253,POLYGLYCERYL-4 COCO-,,,,,,,Emollient/emulsifying
10254,ATE,,,,,,,
10255,POLYGLYCERYL-4 DILAU-,,,,,"1,2,3-Propanetriol, homopolymer, didodecanoate",,Emollient/emulsifying
10256,RATE,,,,,,,
10257,POLYGLYCERYL-4 ISO-,,,91824-88-3,,,,Emulsifying
10258,STEARATE,,,,,,,
10259,POLYGLYCERYL-4 LAU-,,,75798-42-4,,,,Emulsifying
10260,RATE,,,,,,,
10261,POLYGLYCERYL-4 LAURYL,,,,,,,Emulsifying
10262,ETHER,,,,,,,
10263,POLYGLYCERYL-4 OLEATE,,,9007-48-1,,"1,2,3-propanetriol, homopolymer,
(Z)-9-octadecenoate",,Emulsifying
10264,POLYGLYCERYL-4 OLEYL,,,,,,,Emulsifying
10265,ETHER,,,,,,,
10266,POLYGLYCERYL-4 PEN-,,,103230-29-1,,"1,2,3-Propanetriol, homopolymer, pentaoleate",,Emollient/emulsifying
10267,TAOLEATE,,,,,,,
10268,POLYGLYCERYL-4 PEN-,,,99570-00-0,,"1,2,3-Propanetriol, homopolymer, pentaoctadecanoate",,Emollient/emulsifying
10269,TASTEARATE,,,,,,,
10270,POLYGLYCERYL-4 STEA-,,,37349-34-1/,,"1,2,3-propanetriol, homopolymer, monooctadecanoate",,Emulsifying
10271,RATE,,,68004-11-5,,,,
10272,POLYGLYCERYL-4 TRIS-,,,99734-29-9,"1,2,3-Propanetriol, homopolymer,
trioctadecanoate",,Emollient/emulsifying,
10273,TEARATE,,,,,,,
10274,POLYGLYCERYL-4-PEG-2,,,,,,Emulsifying/surfactant,
10275,COCAMIDE,,,,,,,
10276,POLYGLYCERYL-5 ISO-,,,,,,Emulsifying,
10277,STEARATE,,,,,,,
10278,POLYGLYCERYL-5 LAU-,,,128738-83-0,,,Emulsifying,
10279,RATE,,,,,,,
10280,POLYGLYCERYL-5 OLEATE,,,86529-98-8,,,Emulsifying,
10281,POLYGLYCERYL-6 DIOLE-,,,"76009-37-5
278-358-4","Dioleic acid, diester with hexaglycerol",,Emulsifying,
10282,ATE,,,,,,,
10283,POLYGLYCERYL-6 DIPAL-,,,,"1,2,3-Propanetriol, homopolymer, dihexadecanoate",,Emollient/emulsifying,
10284,MITATE,,,,,,,
10285,POLYGLYCERYL-6 DISTEA-,,,"34424-97-0
252-010-1","Distearic acid, diester with hexaglycerol",,Emulsifying,
10286,RATE,,,,,,,
10287,POLYGLYCERYL-6 HEX-,,,,,,Emulsifying,
10288,AOLEATE,,,,,,,
10289,POLYGLYCERYL-6 ISO-,,,,,,Emulsifying,
10290,STEARATE,,,,,,,
10291,POLYGLYCERYL-6 LAU-,,,51033-38-6,,,Emulsifying,
10292,RATE,,,,,,,
10293,POLYGLYCERYL-6 OLEATE,,,9007-48-1,"1,2,3-propanetriol, homopolymer,
(Z)-9-octadecenoate",,Emulsifying,
10294,POLYGLYCERYL-6 PALMI-,,,99734-31-3,"1,2,3-Propanetriol, homopolymer, hexadecanoate",,Emollient/emulsifying,
10295,TATE,,,,,,,
10296,POLYGLYCERYL-6 PEN-,,,,,,Emulsifying,
10297,TAOLEATE,,,,,,,
10298,POLYGLYCERYL-6 PEN-,,,,"1,2,3-Propanetriol, homopolymer, pentaricinoleate",,Emollient/emulsifying,
10299,TARICINOLEATE,,,,,,,
10300,POLYGLYCERYL-6 PEN-,,,,,Emulsifying,,
10301,TASTEARATE,,,,,,,
10302,POLYGLYCERYL-6 RICI-,,,107615-51-0,,Emulsifying,,
10303,NOLEATE,,,,,,,
10304,POLYGLYCERYL-6 TETRA-,,,9007-48-1,"1,2,3-Propanetriol, homopolymer, Poly (Z-)-9-Octadeceno-",Emollient/emulsifying,,
10305,OLEATE,,,,ate,,,
10306,POLYGLYCERYL-6 TRIS-,,,,,Emulsifying,,
10307,TEARATE,,,,,,,
10308,POLYGLYCERYL-8 OLEATE,,,9007-48-1,"1,2,3-propanetriol, homopolymer,
(Z)-9-octadecenoate",Emulsifying,,
10309,POLYGLYCERYL-8 STEA-,,,37349-34-1,"1,2,3-propanetriol, homopolymer, monooctadecanoate",Emulsifying,,
10310,RATE,,,,,,,
10311,POLYGLYCERYL-10 DIDE-,,,,"1,2,3-Propanetriol, homopolymer, didecanoate",Emollient/emulsifying,,
10312,CANOATE,,,,,,,
10313,POLYGLYCERYL-10 DIPAL-,,,,"1,2,3-Propanetriol, homopolymer, dihexadecanoate",Emollient/emulsifying,,
10314,MITATE,,,,,,,
10315,POLYGLYCERYL-10 HEX-,,,9007-48-1,"1,2,3-Propanetriol, homopolymer, hexaoleate",Emollient/emulsifying,,
10316,AOLEATE,,,,,,,
10317,POLYGLYCERYL-10 PEN-,,,,"1,2,3-Propanetriol, homopolymer, pentalinoleate",Emollient/emulsifying,,
10318,TALAURATE,,,,,,,
10319,POLYGLYCERYL-10 PEN-,,,,"1,2,3-Propanetriol, homopolymer, pentadodecanoate",Emollient/emulsifying,,
10320,TALINOLEATE,,,,,,,
10321,POLYGLYCERYL-10 PEN-,,,,"1,2,3-Propanetriol, homopolymer, pentaricinoleate",Emollient/emulsifying,,
10322,TARICINOLEATE,,,,,,,
10323,POLYGLYCERYL-10 POLY-,,,,"1,2,3-Propanetriol, homopolymer, polyricinoleate",Emulsifying/viscosity controlling,,
10324,RICINOLEATE,,,,,,,
10325,POLYGLYCERYL DIMER,,,223706-55-6,"Soya, glycine soya,
fatty acids, dimers, esters with poly-",Emulsifying,,
10326,SOYATE,,,,glycerol,,,
10327,POLYGLYCERYL SORBITOL,,,,,Humectant,,
10328,POLYGLYCERYL-10 DECA-,,,"68900-96-9
272-645-8","Glycerol, decamer, deca(octadeca-9,12-dienoate)",,Emulsifying,
10329,LINOLEATE,,,,,,,
10330,POLYGLYCERYL-10 DEC-,,,"11094-60-3
234-316-7","Decaoleic acid, decaester with decaglycerol",,Emulsifying,
10331,AOLEATE,,,,,,,
10332,POLYGLYCERYL-10 DECA-,,,"39529-26-5
254-495-5","Decastearic acid, decaester with decaglycerol",,Emulsifying/opacifying,
10333,STEARATE,,,,,,,
10334,POLYGLYCERYL-10 DII-,,,,,,Emulsifying,
10335,SOSTEARATE,,,,,,,
10336,POLYGLYCERYL-10 DIOLE-,,,"33940-99-7
251-750-2","Dioleic acid, diester with decaglycerol",,Emulsifying,
10337,ATE,,,,,,,
10338,POLYGLYCERYL-10 DIS-,,,,,,Emulsifying,
10339,TEARATE,,,,,,,
10340,POLYGLYCERYL-10 HEP-,,,,,,Emulsifying,
10341,TAOLEATE,,,,,,,
10342,POLYGLYCERYL-10 HEP-,,,,,,Emulsifying,
10343,TASTEARATE,,,,,,,
10344,POLYGLYCERYL-10 ISO-,,,133738-23-5,,,Emulsifying,
10345,STEARATE,,,,,,,
10346,POLYGLYCERYL-10 LAU-,,,,,,Emulsifying,
10347,RATE,,,,,,,
10348,POLYGLYCERYL-10,,,,,,Emulsifying,
10349,MONO/DIOLEATE,,,,,,,
10350,POLYGLYCERYL-10 MYR-,,,,,,Emulsifying,
10351,ISTATE,,,,,,,
10352,POLYGLYCERYL-10 OLE-,,,"79665-93-3
279-230-0","Oleic acid, monoester with decaglycerol",,Emulsifying,
10353,ATE,,,,,,,
10354,POLYGLYCERYL-10 PEN-,,,,,,Emulsifying,
10355,TAOLEATE,,,,,,,
10356,POLYGLYCERYL-10 PEN-,,,,,,Emulsifying,
10357,TASTEARATE,,,,,,,
10358,POLYGLYCERYL-10 STEA-,,,79777-30-3,,Emulsifying,,
10359,RATE,,,,,,,
10360,POLYGLYCERYL-10 TET-,,,"34424-98-1
252-011-7","Tetraoleic acid,
tetraester with decaglycerol",Emulsifying,,
10361,RAOLEATE,,,,,,,
10362,POLYGLYCERYL-10,,,,,Emulsifying,,
10363,TRIOLEATE,,,,,,,
10364,POLYGLYCERYL-10 TRIS-,,,12709-64-7,,Emulsifying,,
10365,TEARATE,,,,,,,
10366,POLYGLYCERYLMETHA-,,,,,Film forming,,
10367,CRYLATE,,,,,,,
10368,POLYGONATUM MULTI-,,,"93165-64-1
296-951-6","Polygonatum Multiflorum Extract
is an extract of
the",Skin conditioning,,
10369,FLORUM EXTRACT,,,,"rhizomes and roots of
the solomon's seal, Polygonatum",,,
10370,,,,,"multiflorum, Liliaceae",,,
10371,POLYGONATUM OFFICI-,,,"90082-98-7
290-191-9",Polygonatum Officinale Extract is an extract of the rhizomes,Skin conditioning,,
10372,NALE EXTRACT,,,,"and roots of
the solomon's seal, Polygonatum officinale,",,,
10373,,,,,Liliaceae,,,
10374,POLYGONUM AVICULARE,,,"84604-04-6
283-280-9","Polygonum Aviculare Extract is an extract of
the herb of
the",Emollient,,
10375,EXTRACT,,,,"knotweed, Polygonum aviculare, Polygonaceae",,,
10376,POLYGONUM BISTORTA,,,"84012-36-2
281-680-8","Polygonum Bistorta Extract
is an extract of
the roots of
the",Skin conditioning,,
10377,EXTRACT,,,,"bistort, Polygonum bistorta, Polygonaceae",,,
10378,POLYGONUM FAGO-,,,"89958-09-8
289-631-2","Polygonum Fagopyrum Extract
is an extract of
the leaves",Skin protecting,,
10379,PYRUM EXTRACT,,,,"and shoots of
the buckwheat, Polygonum fagopyrum,",,,
10380,,,,,Polygonaceae,,,
10381,POLYGONUM MULTI-,,,,"Polygonum Multiflorum Extract
is an extract of
the herb",Skin conditioning,,
10382,FLORUM EXTRACT,,,,"polygonum, Polygonum multiflorum, Polygonaceae",,,
10383,POLYGONUM MULTI-,,,,"Polygonum Multiflorum Root Extract
is an extract of
the",Skin conditioning,,
10384,FLORUM ROOT EXTRACT,,,,"roots of
the polygonum, Polygonum multiflorum, Poly-",,,
10385,,,,,gonaceae,,,
10386,POLYHYDROXYSTEARIC,,,,,Emulsifying,,
10387,ACID,,,,,,,
10388,POLYISOBUTENE,,,9003-27-4,"1-propene, 2-methyl-, homopolymer",Binding/film forming/viscosity,,
10389,,,,,,controlling,,
10390,POLYISOPRENE,,,9003-31-0,"1,3-butadiene, 2-methyl-, homopolymer",Emollient,,
10391,POLYLYSINE,,,,,Hair conditioning,,
10392,POLYLYSINE HBR,,,,"Poly{imino-[1-(4-aminobutyl)-2-oxoethenyl]}, hydrobro-",Hair conditioning,,
10393,,,,,mide,,,
10394,POLYMETHACRYLAMIDO-,,,68039-13-4,,Antistatic/film forming,,
10395,PROPYLTRIMONIUM,,,,,,,
10396,CHLORIDE,,,,,,,
10397,POLYMETHACRYLAMIDO-,,,181788-04-5,"Sulfuric acid, dimethyl ester, compound with N-(3-",Antistatic/film forming/hair condi-,,
10398,PROPYLTRIMONIUM,,,,(dimethylamino)propyl)-2-methyl-2-propenamide homopo-,tioning,,
10399,METHOSULFATE,,,,lymer,,,
10400,POLYMETHACRYLIC ACID,,,25087-26-7,,Viscosity controlling,,
10401,POLYMETHOXY BICYCLIC,,,56709-13-8,,Antimicrobial,,
10402,OXAZOLIDINE,,,,,,,
10403,POLYMETHYL ACRYLATE,,,9003-21-8,,Film forming,,
10404,POLYMETHYL METHA-,,,9011-14-7,"2-propenoic acid, 2-methyl-, methyl ester, homopolymer",Film forming/viscosity controlling,,
10405,CRYLATE,,,,,,,
10406,POLYMETHYLGLUTA-,,,25086-16-2,,Binding,,
10407,MATE,,,,,,,
10408,POLYMETHYLSILSES-,,,68554-70-1,,Emollient,,
10409,QUIOXANE,,,,,,,
10410,POLYOXYISOBUTYLENE/,,,,,Film forming,,
10411,METHYLENE UREA COPO-,,,,,,,
10412,LYMER,,,,,,,
10413,POLYOXYMETHYLENE,,,"68611-64-3
271-898-1","Urea, reaction products with formaldehyde",Viscosity controlling,,
10414,UREA,,,,,,,
10415,POLYPENTENE,,,9078-70-0,"Pentene, homopolymer",Emollient,,
10416,POLYPERFLUOROISOPRO-,,,,"Oxirane,
trifluoro(trifluoromethyl)-, homopolymer",Skin conditioning,,
10417,PYL ETHER,,,,,,,
10418,POLYPERFLUOROPERHY-,,,,"Tetracosafluorotetradecahydrophenanthrene, polymers","Film forming/hair
fixing/skin con-",,
10419,DROPHENANTHRENE,,,,,ditioning,,
10420,POLYPORUS UMBELLA-,,,223751-84-6,"Polyporus Umbellatus Extract
is an extract of
the mush-",Skin protecting,,
10421,TUS EXTRACT,,,,"room, Polyporus umbellatus, Polyporaceae",,,
10422,POLYPROPYLENE,polipropene 25,,9003-07-0,"1-propene, homopolymer",Film forming/viscosity controlling,,
10423,POLYQUATERNIUM-1,,,75345-27-6,"Poly[(dimethylimino)-2-butene-1,4-diyl chloride],
.alpha.-[4-",Antistatic/film forming,,
10424,,,,,[tris(2-hydroxyethyl)ammonium]-2-butenyl]-.omega.-[tris,,,
10425,,,,,"(2-hydroxyethyl)ammonium]-, dichloride",,,
10426,POLYQUATERNIUM-2,,,68555-36-2/,"Urea, N,N'-bis[3-(dimethylamino)propyl]-, polymer with",Antistatic/emollient/film forming,,
10427,,,,63451-27-4,"1,1'-oxybis(2-chloroethane)",,,
10428,POLYQUATERNIUM-13,,,68877-47-4,"2-propenoic acid, 2-methyl-, 2-(diethylamino)ethyl ester,",Antistatic/film forming,,
10429,,,,,polymer with ethyl 2-methyl-2-propenoate and (Z)-9-,,,
10430,,,,,octadecenyl-2-methyl-2-propenoate compd. dimethyl sul-,,,
10431,,,,,fate,,,
10432,POLYQUATERNIUM-4,,,,,Antistatic/film forming,,
10433,POLYQUATERNIUM-5,,,26006-22-4,"Ethanaminium, N,N,N-trimethyl-2-[(2-methyl-1-oxo-2-pro-",Antistatic/film forming,,
10434,,,,,"penyl)oxy]-, methyl sulfate, polymer with 2-propenamide",,,
